track_name,artist_name,PCA_1,PCA_2,popularity
No Face No Case,GASHI,-1.75568740113612,-0.13727616395575595,60
Used To Be,Matt Nathanson,-1.2254714680051153,-0.22616334088732307,60
You'll Never Know,David Osborne,3.1684861976012533,-0.4212438424034947,59
FUCKALLOFYOU2K18,$uicideBoy$,-1.8548424434895536,0.20609664973406758,58
Sandpaper,Taska Black,-0.6757344375334721,0.6063887485363609,57
Sergio El Americano,Fuerza Regida,-1.8372361892914675,-0.3810863448979102,54
Another Life,RÜFÜS DU SOL,-0.7564594305460163,1.39191102339627,54
Back,Rickyxsan,-1.922993640932794,-0.361109762850719,53
21 Sadness,Goody Grace,-0.20558526984939138,-0.9731656323043322,52
Seasons - Live,Hillsong Worship,-0.13642036304651894,3.175539093018724,51
Enter,Milo Heart,4.402706606429332,0.8434876260409581,50
Let Me Live,Kehlani,-0.46952344050179085,-0.3072806504053084,48
New Orleans,Jelly Roll,-1.2815592977857195,0.38289837031709123,45
Hot Potato,N.Flying,-2.9167520652782213,-0.2916795598023834,45
Bitcoin,Ricegum,-1.5995811858604947,-1.3834565130189675,45
Ph City Vibration,Burna Boy,-1.652491762598019,0.25647227911129455,44
True Story,Yungeen Ace,-0.6935805105338928,0.09950500860997173,44
Sidelines,State Champs,-2.121703871405283,1.8348348238783987,44
Outro,Nines,-0.3059630234086488,-1.5776071906401703,43
Dos Hombres Un Destino,Combinacion De La Habana,-2.1478310355086396,0.47029267726721,41
Ashbys Harp,Gonza,1.2466492935615936,-1.964459005707274,41
Letter To Vincent Van Gogh,Paulus Schäfer,1.0417401809245077,0.11552624821254116,39
"Prune, You Talk Funny",Gus Dapperton,-1.3853897277358105,0.5375981630351226,38
All In My Head,Matt and Kim,-0.5935966558551368,0.9731736101684152,37
Dead Flowers - Live,The Rolling Stones,-0.9110847271210509,2.423766928616619,37
Ab Intus,Answer Code Request,0.06603970916040978,0.8306069036971162,35
I Can Only Bliss Out (F'Days),Laraaji,0.7378692696280196,-0.23797567147583026,33
Portrait of a Man on a Couch With Cats,Michael Cera Palin,-1.6961814148043373,2.041234348055974,33
"Piano Sonata No. 3 in B-Flat Major, K. 281: 2. Andante amoroso",Wolfgang Amadeus Mozart,4.032668519284508,-0.3814184482031721,33
Tryin',Shannon and The Clams,-0.7271778501507633,1.7413575804794486,32
Best of My Love - 2018 Mix,Samantha Jade,-1.834720287851283,-0.013328080323499795,32
Different Women,Norman Perry,0.10147425654415564,-0.12445260683372844,31
Feel It,The Tech Thieves,-1.8765082655216783,0.029811067511768412,31
Mr. H2O (ASOT 878),Genix,0.36201729252360504,1.871257937067878,30
Smooth,Santana,-1.961892994082552,-0.08858739297377653,29
Hold Me Close,Nick De La Hoyde,-1.0202003550178518,-0.1618710461435123,29
It Looks Like It's Going to Rain,Oribu,1.8389411673235097,-2.1404730883824645,29
Kulang,Yeng Constantino,-1.0970341604230913,1.133850378529684,29
Raw String Attacks,DJ Straight G,0.33880091007835667,-0.18730829284766604,28
HOLD ME TIGHT OR DON’T - VALNTN Remix,Fall Out Boy,-0.9251711431035478,0.20875002300175408,28
Saffron,Leo P,-0.21593434536558279,-0.8702530786203945,27
Stuck In Orbit - Edit,What So Not,-0.675286063149378,1.817939738659235,27
Hear That,Epademik,-1.3567507369448244,-0.1878341240916661,27
Aye Yea,Caskey,-1.8171065928508996,-0.5832280578211695,27
Make Them Bleed,Terror Universal,-1.6104495821055922,1.322765350863176,27
Dream Last Night (feat. YFN Lucci),Ralo,-0.9633288633114145,-0.1354139306924369,26
Marijuana (3 Days in LA),SMH Records,-1.167198560229757,0.336122793756313,25
Waterss,Fly Head,-0.3770162995282774,-0.40485357625373103,25
Driving Through Compton (feat. Aneesa Badshaw),Smith and Hay,0.8287663624503391,-0.42364289288328894,25
Para Qué Te Conocí,Geru y Su Legion 7,-1.7801433868393974,-0.5213995435981706,25
Parking Lot,Grouper,4.029549008955759,0.2405005553123316,24
"You (feat. Roy Demeo, Sylvia Massy & Mike Smith)",Jonathan Hay,-2.228652782742287,0.3407264904526305,24
Se Llamaba No Se,Primera Generacion,0.01378271530911751,0.194144091379437,23
Paradise Beat,BeatingDance,-1.3206669227251393,0.12404395745555127,22
Lyricist or Rapper,Bonafide Suspects,-1.8268169417755542,-1.1030439436742263,22
The Things I Say,Eddie Berman,1.8106482860580118,-0.5618448973471197,19
Abide With Me,Travis Cottrell,1.8862103582570189,-0.010211989949421038,19
Till The Sunrise,Giuseppe Ottaviani,-0.8458652883728738,2.081721908322706,18
Into You,Good Luck Finding Iris,1.3296584094338264,-0.46605012558602493,18
Cool Off,Jester,-1.3731554689233434,-0.48635732574552387,18
"It's Gonna Be Ok (no, It's Not)",The Goddamn Gallows,-0.8780751613372696,1.410072797926682,17
No Te Hagas,Orquesta Akokán,-0.38690517113843315,0.39415294656981453,17
I Know,Elvy The God,-0.36032376932908544,-1.0534573648752334,15
Otro Level,YSY A,-0.6588153351859276,-0.6660314967789511,15
Girl's Gotta Do,Jill Barber,-1.3046915666815149,-1.1108726591464022,14
"Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": IV. Rondo. Allegro",Wolfgang Amadeus Mozart,3.076824534615588,-1.0960868593383757,14
See Me,Scotty Valid,0.5195438519401966,-1.2339033081988764,14
Finding Trouble During The Day (Bonus),John Heffron,-1.2233084480057006,-0.4439408966205942,13
Like This Body Of Conflict (ASOT 854) - Cosmic Gate Mash UP,Cosmic Gate,-0.11813837016909493,1.6722170981160696,13
Why Can't You?,Joe,0.06029546295619767,1.444340444632484,13
